No errors
This data source has been renamed to 'aircraftreports' and will not be available in the next release of the dataserver; 
36 ms
data source=pireps
802 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,KLM678,63.1167,-61.7,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,308,17,,AIREP,ARP KLM678 6307N 06142W 0246 F350 M51 308/17 6327N 05800W 0258 6259N 05000W KT PHBHL QXS YFB 020246 L28A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,AMX004,57.8167,-51.3167,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,277,44,,AIREP,ARP AMX004 5749N 05119W 0246 F320 M51 277/44 CUDDY 0312 PORGY KT N128AM DDL UAK 020246 L55A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,FIN6,54.4833,-53.7833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,259,35,,AIREP,ARP FIN6 5429N 05347W 0246 F380 M49 259/35 5600N 05000W 0305 5900N 04000W KT OHLTU QXS YAY 020246 J07A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,DAL10,53.7167,-59.9167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,266,32,,AIREP,ARP DAL10 5343N 05955W 0246 F390 M49 266/32 JANJO 0259 5600N 05000W KT N861NW DDL YIF 020246 J40A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,KLM642,52.5833,-42.6167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,281,31,,AIREP,ARP KLM642 5235N 04237W 0246 F380 M48 281/31 5300N 04000W 0257 5400N 03000W KT PHBQO QXT EUA 020246 F30A,
2020-02-02T02:49:19Z,2020-02-02T02:46:00Z,,,,,,,BLX330,51.45,-57.9667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,267,38,,AIREP,ARP BLX330 5127N 05758W 0246 F390 M48 267/38 NEEKO 0257 5400N 05000W KT GTUIJ QXT AME 020246 L55A,
2020-02-02T02:49:19Z,2020-02-02T02:46:00Z,,,,,,,AUA90,51.0667,-32.1833,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,237,37,,AIREP,ARP AUA90 5104N 03211W 0246 F350 M46 237/37 5100N 03000W 0256 5200N 02000W KT OELAT DDL XXN 020246 F81A,
2020-02-02T02:49:19Z,2020-02-02T02:46:00Z,,,,,,,AAL704,51.0667,-35.35,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,255,37,,AIREP,ARP AAL704 5104N 03521W 0246 F390 M45 255/37 5058N 03000W 0310 5158N 02000W KT N290AY DDL XXH 020246 J83A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,AAL198,50.1,-34.15,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,234,29,,AIREP,ARP AAL198 5006N 03409W 0246 F370 M45 234/29 5000N 03000W 0304 5100N 02000W KT N777AN DDL XXN 020246 F64A,
2020-02-02T02:49:19Z,2020-02-02T02:46:00Z,,,,,,,BAW176A,49.2833,-48.8667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,282,45,,AIREP,ARP BAW176A 4917N 04852W 0246 F390 M51 282/45 5100N 04000W 0328 5100N 03000W KT GYMMG QXS YYT 020247 F38A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,ACA870,47.3667,-54.8833,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,269,130,,AIREP,ARP ACA870 4722N 05453W 0246 F340 M58 269/130 4800N 05000W 0307 5000N 04000W KT CFITW DDL YQX 020246 F23A,
2020-02-02T02:47:51Z,2020-02-02T02:46:00Z,,,,,,,MSR986,47.0167,-39.8667,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,317,35,,AIREP,ARP MSR986 4701N 03952W 0246 F340 M49 317/35 4859N 03000W 0333 4959N 02000W KT SUGEV DDL XXH 020246 L60A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,DHK972,59.9667,-41.0333,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,273,34,,AIREP,ARP DHK972 5958N 04102W 0245 F320 M41 273/34 5902N 05001W 0323 5700N 05802W KT GDHLE DDL UAK 020245 F66A,
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,SAS954,56.1,-29.1333,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,234,41,,AIREP,ARP SAS954 5606N 02908W 0245 F390 M44 234/41 5659N 02000W 0320 5759N 01000W KT LNRKU DDL XXN 020245 J62A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,SAS926,55.85,-30.8667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,235,35,,AIREP,ARP SAS926 5551N 03052W 0245 F390 M42 235/35 5559N 03000W 0248 5659N 02000W KT LNRKM DDL XXN 020245 J90A,
2020-02-02T02:46:41Z,2020-02-02T02:45:00Z,,,,,,,DAL262,54.1,-34.35,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,245,42,,AIREP,ARP DAL262 5406N 03421W 0245 F370 M46 245/42 5400N 03000W 0303 5400N 02000W KT N801NW DDL IG1 020245 J53A,
2020-02-02T02:47:51Z,2020-02-02T02:45:00Z,,,,,,,UAL52,52.0667,-37.35,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,295,39,,AIREP,ARP UAL52 5204N 03721W 0245 F340 M50 295/39 5159N 03000W 0318 5259N 02000W KT N673UA DDL IG1 020246 F70A,
